data,totale_casi,totale_casi_sigma,regione,deceduti,deceduti_sigma,totale_casi_seir,totale_positivi_individuati,guariti_individuati,deceduti_seir,terapia_intensiva,totale_positivi_non_individuati,guariti_non_individuati,totale_casi_non_individuati,beta,gamma,R_0,beta_individuati,gamma_individuati,R_0_individuati,totale_casi_std,totale_positivi_individuati_std,guariti_individuati_std,deceduti_std,terapia_intensiva_std,totale_positivi_non_individuati_std,guariti_non_individuati_std,totale_casi_non_individuati_std,beta_std,gamma_std,R_0_std,beta_individuati_std,gamma_individuati_std,R_0_individuati_std,totale_casi_offset,deceduti_offset,guariti_offset,totale_positivi_offset,terapia_intensiva_offset,R_0_offset
2021-02-28,335922.0,92,Veneto,9876.0,2,335714.4606229843,25121.0,301370.0,9891.69226372598,,45227.83446175529,1690713.7980007806,1735941.632462536,0.14715982422664872,0.08500365534102285,1.7357568777871022,0.14715982422664872,0.08500365534102285,1.7357568777871022,5273.2264474325875,3624,4920,222.9293767525977,36,20404.1007232464,196050.18798570905,199605.33906642642,0.053766734007776214,0.008011106488382947,0.6646926317598689,0.053766734007776214,0.008011106488382947,0.5646926317598691,-3,-3,-3,-3,-1,-3
2021-03-01,337136.0,135,Veneto,9887.0,2,336621.6466140759,25026.0,302344.0,9919.242647902553,,45439.21948230369,1695272.397744621,1740711.617226924,0.14713370142295193,0.08500365534102285,1.7336927932330253,0.14713370142295193,0.08500365534102285,1.7336927932330253,5440.889189020639,3821,4871,220.81222181296252,36,21423.748024912533,196824.9096561861,200169.16149124445,0.055601430457821566,0.008011106488382947,0.6845966687023627,0.055601430457821566,0.008011106488382947,0.5845966687023627,-3,-3,-3,-3,-1,-3
2021-03-02,338407.0,194,Veneto,9898.0,3,337532.6963810892,24940.0,303314.0,9946.663988526532,145.0,45670.6830246245,1699848.2517123187,1745518.9347369438,0.14727977599033235,0.08500365534102285,1.7336877872364458,0.14727977599033235,0.08500365534102285,1.7336877872364458,5645.711940839155,4023,4826,218.55716778916812,36,22515.021017420684,197572.18410294308,200775.06825583387,0.05684500366154776,0.008011106488382947,0.6967917821799514,0.05684500366154776,0.008011106488382947,0.5967917821799514,-3,-3,-3,-3,-1,-3
2021-03-03,339699.0,239,Veneto,9909.0,3,338448.0070778636,24862.0,304280.0,9973.969292644386,143.0,45918.87832180167,1704443.448999115,1750362.3273209168,0.14759391936128,0.08500365534102285,1.7357230990613688,0.14759391936128,0.08500365534102285,1.7357230990613688,5888.094153645711,4233,4788,216.17256075552044,37,23650.017108317763,198298.03709407555,201426.46694575364,0.05747360485302664,0.008011106488382947,0.7011477863367919,0.05747360485302664,0.008011106488382947,0.6011477863367919,-3,-3,-3,-3,-1,-3
2021-03-04,340964.0,291,Veneto,9920.0,4,339368.23460426263,24793.0,305242.0,10001.171738352234,141.0,46173.334701273656,1709061.439073403,1755234.7737746763,0.1478805009926822,0.08500365534102285,1.7375713526573362,0.1478805009926822,0.08500365534102285,1.7375713526573362,6167.804846069052,4453,4757,213.6694500623917,37,24819.30715903446,199010.3782010632,202121.3864519893,0.058058378397104426,0.008011106488382947,0.7052014167309101,0.058058378397104426,0.008011106488382947,0.6052014167309101,-3,-3,-3,-3,-1,-3
2021-03-05,342240.0,342,Veneto,9931.0,4,340294.07167112513,24733.0,306201.0,10028.284048314921,139.0,46420.24114991763,1713705.867192379,1760126.1083422962,0.1481294361996732,0.08500365534102285,1.7391748699982774,0.1481294361996732,0.08500365534102285,1.7391748699982774,6484.13646268969,4684,4737,211.06215748761062,37,26028.904056132313,199717.46762122874,202856.10095916293,0.05863553310162739,0.008011106488382947,0.7092031493780494,0.05863553310162739,0.008011106488382947,0.6092031493780494,-3,-3,-3,-3,-1,-3
2021-03-06,343491.0,411,Veneto,9941.0,5,341224.98402646056,24681.0,307157.0,10055.31482196825,137.0,46666.151031753565,1718373.9428442689,1765040.093876022,0.14834867012069988,0.08500365534102285,1.7405832185094663,0.14834867012069988,0.08500365534102285,1.7405832185094663,6837.535467238222,4927,4728,208.36931973432942,38,27259.638712439155,200420.4881559151,203640.49359759345,0.05918694864879461,0.008011106488382947,0.7130340786740673,0.05918694864879461,0.008011106488382947,0.6130340786740673,-3,-3,-3,-3,-1,-3
2021-03-07,344748.0,497,Veneto,9951.0,6,342160.8608716933,24636.0,308111.0,10082.275539454233,135.0,46912.281388649775,1723065.1001803556,1769977.3815690053,0.14854175832264502,0.08500365534102285,1.7418199925690143,0.14854175832264502,0.08500365534102285,1.7418199925690143,7227.750881663146,5183,4733,205.6136534237936,39,28499.328034607934,201123.5254049424,204481.0009066401,0.059707050693214886,0.008011106488382947,0.7166599151626357,0.059707050693214886,0.008011106488382947,0.6166599151626357,-3,-3,-3,-3,-1,-3
2021-03-08,346061.0,577,Veneto,9962.0,6,343101.6953003941,24598.0,309063.0,10109.177600710434,134.0,47157.794063292145,1727779.3212343203,1774937.1152976125,0.14871032530578782,0.08500365534102285,1.7428968778839655,0.14871032530578782,0.08500365534102285,1.7428968778839655,7654.171617413029,5452,4754,202.8238330265039,39,29740.889833215264,201831.50237316836,205382.55099346468,0.06019676374433665,0.008011106488382947,0.7200891620461978,0.06019676374433665,0.008011106488382947,0.6200891620461978,-3,-3,-3,-3,-1,-3
2021-03-09,347418.0,678,Veneto,9972.0,7,344047.4228760075,24567.0,310013.0,10136.031212176142,132.0,47402.292334452315,1732516.2889177662,1779918.5812522192,0.14885626788033746,0.08500365534102285,1.743826744503192,0.14885626788033746,0.08500365534102285,1.743826744503192,8116.0156263380795,5734,4793,200.03566852556347,40,30979.227275996494,202549.1341135015,206350.20264883604,0.06065769339210408,0.008011106488382947,0.7233327768813568,0.06065769339210408,0.008011106488382947,0.6233327768813568,-3,-3,-3,-3,-1,-3
2021-03-10,348794.0,802,Veneto,9981.0,8,344998.00496546284,24542.0,310962.0,10162.847001904622,131.0,47645.05440652906,1737275.8240776332,1784920.8784841625,0.14898115897142047,0.08500365534102285,1.7446205042137115,0.14898115897142047,0.08500365534102285,1.7446205042137115,8612.395582984069,6029,4851,197.2890484079161,41,32209.80989886712,203281.48902634945,207388.6060142681,0.06109092113800281,0.008011106488382947,0.726399186482441,0.06109092113800281,0.008011106488382947,0.6263991864824411,-3,-3,-3,-3,-1,-3
