data;terapia_intensiva;totale_positivi;dimessi_guariti;deceduti;totale_casi;tamponi;popolazione;regione
21/02/2020;8;11;0;1;12;12;4905854;Veneto
22/02/2020;10;26;0;1;27;1239;4905854;Veneto
23/02/2020;10;42;0;1;43;2309;4905854;Veneto
24/02/2020;11;51;1;1;53;3747;4905854;Veneto
25/02/2020;12;95;3;2;100;5299;4905854;Veneto
26/02/2020;12;135;4;2;141;6688;4905854;Veneto
27/02/2020;13;205;6;2;213;8093;4905854;Veneto
28/02/2020;14;241;9;2;252;9533;4905854;Veneto
29/02/2020;17;275;11;3;289;9906;4905854;Veneto
01/03/2020;19;295;11;5;311;10109;4905854;Veneto
02/03/2020;23;333;15;7;355;10632;4905854;Veneto
03/03/2020;26;375;16;10;401;11219;4905854;Veneto
04/03/2020;30;468;29;11;508;13833;4905854;Veneto
05/03/2020;35;531;55;11;597;16925;4905854;Veneto
06/03/2020;48;604;60;16;680;18028;4905854;Veneto
07/03/2020;53;709;64;22;795;18962;4905854;Veneto
08/03/2020;62;770;68;25;863;19721;4905854;Veneto
09/03/2020;70;939;76;29;1044;21338;4905854;Veneto
10/03/2020;72;1097;98;33;1228;23149;4905854;Veneto
11/03/2020;92;1321;101;40;1462;25288;4905854;Veneto
12/03/2020;110;1531;111;50;1691;27681;4905854;Veneto
13/03/2020;123;1879;124;56;2058;31327;4905854;Veneto
14/03/2020;135;2132;129;66;2326;33651;4905854;Veneto
15/03/2020;152;2355;133;81;2568;35606;4905854;Veneto
16/03/2020;165;2778;179;95;3051;40180;4905854;Veneto
17/03/2020;187;3329;209;112;3649;45801;4905854;Veneto
18/03/2020;218;3771;250;131;4151;51431;4905854;Veneto
19/03/2020;245;4271;283;152;4705;57927;4905854;Veneto
20/03/2020;257;4913;319;178;5407;64455;4905854;Veneto
21/03/2020;268;5273;347;200;5817;68271;4905854;Veneto
22/03/2020;291;5573;367;234;6171;70968;4905854;Veneto
23/03/2020;315;6085;442;272;6796;78368;4905854;Veneto
24/03/2020;321;6593;536;314;7439;86212;4905854;Veneto
25/03/2020;338;6970;640;362;7967;94104;4905854;Veneto
